Row,avg_iac_files_per_commit,Ratio_out_of_cofiles_developers,file_nb_parameters,file_num_ExternalModules,Graph_History_std_degree_centrality,Graph_ContentSimilarity_network_density
197,13.56,0.17,26,10,0.46,0.85
198,13.06,0.2,21,11,0.46,0.85
199,98,0,1,1,0.46,0.85
200,98,0,0,2,0.46,0.85
201,98,0,5,0,0.46,0.85
202,51.5,0.07,5,0,0.46,0.85
203,49.5,0.05,5,0,0.46,0.85
204,31.25,0.05,6,2,0.46,0.85
205,25.6,0.1,6,2,0.46,0.85
206,25.17,0.12,6,2,0.46,0.85
207,75.5,0.07,4,1,0.46,0.85
208,58,0.1,4,1,0.46,0.85
209,11.69,0.06,6,5,0.46,0.85
210,12.5,0.1,6,5,0.46,0.85
211,13.6,0.14,6,5,0.46,0.85
212,14.31,0.12,6,5,0.47,0.85
213,24.67,0.04,0,1,0.46,0.85
214,11.25,0.11,0,1,0.46,0.85
215,98,0,5,0,0.46,0.85
216,75.5,0.05,0,2,0.46,0.85
217,98,0,11,0,0.46,0.85
218,75.5,0.05,7,2,0.46,0.85
219,60,0.1,5,5,0.46,0.85
220,14.67,0.08,1,2,0.46,0.85
221,16.1,0.12,1,2,0.46,0.85
222,50,0.17,0,1,0.46,0.85
223,75.5,0.07,31,0,0.46,0.85
224,21.5,0.07,12,0,0.46,0.85
225,14.67,0.11,0,1,0.46,0.85
226,75.5,0.07,13,1,0.46,0.85
227,58,0.1,13,1,0.46,0.85
228,50.75,0.14,12,2,0.46,0.85
229,98,0,9,0,0.46,0.85
230,39,0.07,17,2,0.46,0.85
231,35.8,0.1,17,2,0.46,0.85
232,38.5,0.07,1,1,0.46,0.85
233,98,0,4,0,0.46,0.85
234,54.5,0.17,4,0,0.46,0.85
235,75.5,0.05,2,1,0.46,0.85
236,98,0,2,0,0.46,0.85
237,51,0.05,19,0,0.46,0.85
238,45.5,0.1,14,3,0.46,0.85
239,98,0,0,2,0.46,0.85
240,98,0,4,0,0.46,0.85
241,54.5,0.17,4,0,0.46,0.85
242,75.5,0.05,1,3,0.46,0.85
243,41,0.05,19,1,0.46,0.85
244,37.4,0.09,19,1,0.46,0.85
245,32,0.12,19,1,0.46,0.85
246,31.57,0.16,12,3,0.46,0.85
247,98,0,9,0,0.46,0.85
248,79.5,0.03,0,0,0.61,0.61
249,157,0.03,24,0,0.61,0.61
250,22.75,0.03,0,0,0.61,0.61
251,21,0.03,0,0,0.61,0.61
252,19,0.03,0,0,0.61,0.61
253,1.5,0.07,8,0,0.61,0.61
254,2.33,0.13,10,0,0.61,0.61
255,6,0,12,0,0.61,0.61
256,6.5,0.04,12,0,0.61,0.61
257,4,0.04,12,0,0.61,0.61
258,81,0.03,0,0,0.61,0.61
259,157,0.03,0,0,0.61,0.61
260,157,0.03,6,0,0.61,0.61
