Row,iac_file_churn,files_num_normalized_resources,iac_file_dependency,nb_files,nb_noniac_files,avg_files_per_commit,nb_content_sim_files,nb_path_sim_files,Ratio_out_of_cofiles_developers,file_nb_parameters,file_nb_variables,file_nb_resources,Graph_History_network_density,Graph_History_betweenness_centrality,Graph_History_closeness_centrality,Graph_ContentSimilarity_std_degree_centrality,Graph_ContentSimilarity_network_density,Graph_ContentSimilarity_closeness_centrality,Graph_PathSimilarity_network_density,Graph_PathSimilarity_Degree_centrality
14,2,0.02,1,58,50,8.05,2,56,0.25,50,18,6,0.04,0.94,0.96,0.38,0.81,0.99,0.66,2.01
15,56,0.02,1,58,50,8.05,2,56,0.25,55,20,6,0.04,0.94,0.96,0.38,0.81,0.99,0.66,2.01
16,5,0.02,1,61,53,8.05,2,59,0.25,55,20,6,0.04,0.95,0.96,0.38,0.81,0.99,0.64,2.01
17,580,0.02,2,61,53,8.05,2,59,0.25,74,30,10,0.04,0.95,0.96,0.38,0.81,0.99,0.64,2.01
18,54,0.02,2,61,53,8.05,3,59,0.25,74,30,10,0.03,0.96,0.97,0.38,0.81,0.99,0.64,2.01
19,3,0.04,2,23,15,6.02,1,22,0.15,31,12,8,0.37,0.02,0.7,0.38,0.81,0.97,1.01,2.01
20,72,0.03,2,24,16,6.02,1,23,0.15,33,14,8,0.35,0.07,0.71,0.38,0.81,0.97,0.99,2.01
21,1,0.03,2,29,20,6.02,1,28,0.15,33,14,8,0.28,0.26,0.74,0.38,0.81,0.97,0.93,2.01
22,21,0.03,2,31,22,6.02,1,30,0.15,33,14,8,0.22,0.42,0.77,0.38,0.81,0.97,0.91,2.01
23,54,0.03,2,36,27,6.03,2,35,0.15,33,14,8,0.11,0.81,0.91,0.38,0.81,0.97,0.85,2.01
24,74,0.03,2,53,44,6.03,2,52,0.15,35,17,8,0.06,0.9,0.93,0.38,0.81,0.97,0.7,2.01
