Row,avg_noniac_files_per_commit,file_std_history,Ratio_out_of_cofiles_developers,files_nb_parameters,files_num_ExternalModules,Graph_History_std_degree_centrality
Z_{1},0.3441,0.2079,-0.2789,0.5906,-0.7825,-0.0019
Z_{2},-0.5693,0.335,0.6187,0.1947,-0.0017,-0.5269
