Row,nb_noniac_files,nb_path_sim_files,Graph_History_betweenness_centrality,Graph_History_closeness_centrality,Graph_ContentSimilarity_closeness_centrality,Graph_PathSimilarity_Degree_centrality
1,-1.768305567,-2.19151711,-0.889847408,-2.586860842,-1.717795137,0.33700345
2,-0.135130476,-1.460666676,-0.583805968,0.173359277,0.040132007,0.33700345
3,-0.135130476,-1.460666676,1.666583572,0.411007358,0.040132007,0.33700345
4,0.123218321,-1.21775614,1.906176439,1.649516579,0.040132007,0.33700345
5,0.256491669,-1.093567523,1.906176439,1.719814816,0.040132007,0.33700345
6,0.256491669,-1.093567523,1.906176439,1.719814816,0.040132007,0.33700345
7,-0.025298038,-1.516125888,-0.313604813,0.232031482,0.893651281,0.33700345
8,-0.025298038,-1.460666676,1.418138943,0.350854308,0.893651281,0.33700345
9,0.169148301,-1.262369592,1.787677329,0.594447547,0.893651281,0.33700345
10,0.256491669,-1.174829727,1.884427969,0.78238446,0.893651281,0.33700345
11,0.415996219,-1.017756765,1.906176439,1.105692395,0.893651281,0.33700345
12,0.593057688,-0.847938812,1.906176439,1.790632457,0.893651281,0.33700345
13,1.100622047,-0.389301382,1.906176439,1.861970631,0.893651281,0.33700345
14,1.124656268,-0.368628827,1.906176439,1.933830468,0.893651281,0.33700345
15,1.124656268,-0.368628827,1.906176439,1.933830468,0.893651281,0.33700345
16,1.194785662,-0.308841251,1.906176439,1.933830468,0.893651281,0.33700345
17,1.194785662,-0.308841251,1.906176439,1.933830468,0.893651281,0.33700345
18,1.194785662,-0.308841251,1.906176439,2.006213089,0.893651281,0.33700345
19,-0.07898076,-1.460666676,-0.313604813,0.232031482,0.040132007,0.33700345
20,-0.025298038,-1.407770534,0.637658565,0.291196087,0.040132007,0.33700345
21,0.169148301,-1.174829727,1.728892925,0.471656446,0.040132007,0.33700345
22,0.256491669,-1.093567523,1.873999039,0.656591958,0.040132007,0.33700345
23,0.453187329,-0.912820572,1.906176439,1.579736611,0.040132007,0.33700345
24,0.974977729,-0.453749094,1.906176439,1.719814816,0.040132007,0.33700345
25,1.000880988,-0.431846014,1.906176439,1.861970631,0.040132007,0.33700345
26,1.000880988,-0.431846014,1.906176439,1.861970631,0.040132007,0.33700345
27,1.026382889,-0.410368756,1.906176439,1.861970631,0.040132007,0.33700345
28,1.026382889,-0.410368756,1.906176439,1.933830468,0.040132007,0.33700345
29,1.026382889,-0.410368756,1.906176439,1.933830468,0.040132007,0.33700345
30,-0.949715458,-2.19151711,-0.889847408,-0.799952665,-0.835271557,0.33700345
31,-0.83136075,-2.093975655,0.323938953,-0.749930682,-0.835271557,0.33700345
32,-0.465467147,-1.700645269,1.710180408,-0.492748632,-0.835271557,0.33700345
33,-0.321587045,-1.574403672,1.869862913,-0.278439351,-0.835271557,0.33700345
34,-0.07898076,-1.357215004,1.906176439,0.411007358,-0.835271557,0.33700345
35,0.169148301,-1.133469619,1.906176439,1.373494932,-0.835271557,0.33700345
36,0.780986313,-0.595131158,1.906176439,1.579736611,-0.835271557,0.33700345
37,0.780986313,-0.595131158,1.906176439,1.579736611,-0.835271557,0.33700345
38,0.867027144,-0.522187228,1.906176439,1.579736611,-0.835271557,0.33700345
39,0.867027144,-0.522187228,1.906176439,1.579736611,-0.835271557,0.33700345
40,0.867027144,-0.522187228,1.906176439,1.719814816,-0.835271557,0.33700345
41,0.026162127,-1.460666676,1.547227588,0.719237199,0.434418745,0.33700345
42,0.026162127,-1.407770534,1.787677329,0.78238446,0.434418745,0.33700345
43,0.213533146,-1.21775614,1.869862913,0.910189777,0.434418745,0.33700345
44,0.298128844,-1.133469619,1.902059437,1.04001734,0.434418745,0.33700345
45,0.489436283,-0.946723494,1.906176439,1.861970631,0.434418745,0.33700345
46,1.026382889,-0.453749094,1.906176439,1.933830468,0.434418745,0.33700345
47,1.026382889,-0.453749094,1.906176439,1.933830468,0.434418745,0.33700345
48,1.051497995,-0.431846014,1.906176439,2.006213089,0.434418745,0.33700345
49,1.051497995,-0.431846014,1.906176439,2.006213089,0.434418745,0.33700345
50,1.124656268,-0.368628827,1.906176439,2.006213089,0.434418745,0.33700345
51,1.124656268,-0.368628827,1.906176439,2.006213089,0.434418745,0.33700345
52,1.124656268,-0.368628827,1.906176439,2.079119616,0.434418745,0.33700345
53,-1.460601444,-2.19151711,-0.889847408,-1.137063602,-1.865454553,0.33700345
54,-1.768305567,-2.19151711,-0.889847408,-2.586860842,-1.865454553,0.33700345
55,-0.07898076,-1.516125888,0.490095702,0.232031482,0.893651281,0.33700345
56,0.075607936,-1.357215004,1.809523762,0.471656446,0.893651281,0.33700345
57,0.075607936,-1.357215004,1.83540846,0.594447547,0.893651281,0.33700345
58,0.169148301,-1.262369592,1.865340824,0.656591958,0.893651281,0.33700345
59,0.377802164,-1.055025936,1.906176439,1.719814816,0.893651281,0.33700345
60,0.489436283,-0.946723494,1.906176439,1.790632457,0.893651281,0.33700345
61,0.489436283,-0.946723494,1.906176439,1.790632457,0.893651281,0.33700345
62,0.92190437,-0.545972982,1.906176439,1.933830468,0.893651281,0.33700345
63,-0.256048362,-1.516125888,-0.889847408,-0.112658624,-0.587564514,0.33700345
64,0.026162127,-1.262369592,1.906176439,1.305776633,-0.587564514,0.33700345
65,-1.460601444,-2.19151711,-0.889847408,-1.137063602,-1.865454553,0.33700345
66,-0.194037083,-1.516125888,-0.889847408,0.000284833,0.893651281,0.33700345
67,-0.07898076,-1.407770534,0.989666112,0.05748718,0.893651281,0.33700345
68,0.169148301,-1.174829727,1.906176439,1.44172693,0.893651281,0.33700345
69,-1.250696828,-2.093975655,-0.889847408,-1.319567195,-1.623405907,0.33700345
