Row,iac_file_dependency,nb_path_sim_files,Graph_History_network_density,Graph_History_betweenness_centrality,Graph_History_closeness_centrality,Graph_PathSimilarity_Degree_centrality
Z_{1},0.1747,0.4566,0.0348,-0.4739,-0.154,-0.3578
Z_{2},0.3348,-0.0649,0.5035,-0.0795,0.425,0.0689
