Project_Name,Top,GA,PSO,SA,RS,ARM
ansible-hardening,7,0.37,0.28,0.31,0.25,0.03
ansible-hardening,10,0.35,0.24,0.3,0.23,0.02
attack_range,auto,0.08,0.06,0.07,0.09,
attack_range,1,0.32,0.1,0.14,0,0.01
attack_range,3,0.16,0.08,0.11,0.1,0.01
attack_range,5,0.13,0.07,0.11,0.07,0.01
attack_range,7,0.09,0.06,0.08,0.06,0.01
attack_range,10,0.07,0.05,0.08,0.04,0.01
infra,auto,0.43,0.33,0.19,0.24,
infra,1,0.71,0.5,0.71,0.01,0.2
infra,3,0.43,0.31,0.33,0.11,0.01
infra,5,0.41,0.28,0.29,0.26,0.01
infra,7,0.29,0.2,0.21,0.21,0.01
infra,10,0.21,0.15,0.17,0.14,0.01
iiab,auto,0.3,0.24,0.21,0.21,
iiab,1,0.45,0.34,0.29,0.27,0.05
iiab,3,0.31,0.24,0.21,0.18,0.05
iiab,5,0.29,0.2,0.2,0.17,0.04
iiab,7,0.26,0.17,0.2,0.15,0.04
iiab,10,0.21,0.14,0.2,0.12,0.03
matrix-docker-ansible-deploy,auto,0.56,0.52,0.48,0.51,
matrix-docker-ansible-deploy,1,0.6,0.59,0.53,0.57,0
matrix-docker-ansible-deploy,3,0.57,0.53,0.5,0.47,0
matrix-docker-ansible-deploy,5,0.55,0.47,0.49,0.42,0
matrix-docker-ansible-deploy,7,0.53,0.44,0.49,0.37,0
matrix-docker-ansible-deploy,10,0.5,0.37,0.48,0.3,0
