Project,Technical_Info,Value
,,
infra,Number of stars:,572
infra,Number of forks:,36
infra,Created at:,2020-01-16 18:44
infra,Updated at:,2023-07-10 13:28
infra,Number of open pull requests:,0
infra,Number of closed pull requests:,8
infra,Number of pull requests:,8
infra,Number of contributors:,4
infra,Number of developers (excluding bots):,4
infra,number of commits:,622
infra,Number of ansible files in all commits history:,57
infra,Number of other files in all commits history:,163
infra,Average number of files per commit in 90%:,5.37037037
infra,Standard deviation of files per commit in 90%:,6.381861964
infra,Average number of files per commit in 10%:,3.833333333
infra,Standard deviation of files per commit in 10%:,3.125166662
infra,Average count of other files in 90%:,2.518518519
infra,Standard deviation of other files in 90%:,5.541407562
infra,Average count of iac files in 90%:,2.185185185
infra,Standard deviation of iac files in 90%:,4.037553039
infra,Average count of other files in 10%:,1.333333333
infra,Standard deviation of other files in 10%:,1.966384161
infra,Average count of iac files in 10%:,1.416666667
infra,Standard deviation of iac files in 10%:,1.56427929
infra,Number of IaC commits:,60
infra,number of iac files in last project version:,35
infra,number of non-iac files in last project version:,132
infra,Percentage of outliers out of all data points:,1.666666667
infra,Percentage of outliers greater than 15 out of all outliers:,1.666666667
infra,Average number of files per commit in IaC commits,5.216666667
infra,Standard deviation of files per commit in IaC commits,6.134348049
infra,IaC files change in % of commits,9.646302251
infra,Standard deviation of files per commit in Non-IaC commits:,1.197261011
infra,Average number of files per commit in Non-IaC commits:,1.498985801
