source,instances,feature_iac_file_loc,feature_iac_file_churn,feature_files_num_normalized_resources,feature_iac_file_dependency,feature_nb_files,feature_nb_iac_files,feature_nb_noniac_files,feature_avg_files_per_commit,feature_avg_iac_files_per_commit,feature_avg_noniac_files_per_commit,feature_nb_content_sim_files,feature_nb_path_sim_files,feature_Ratio_out_of_cofiles_developers,feature_Ratio_out_of_all_developers,feature_file_nb_parameters,feature_file_nb_variables,feature_file_nb_resources,feature_file_fanin,feature_Graph_History_std_degree_centrality,feature_Graph_History_network_density,feature_Graph_History_Degree_centrality,feature_Graph_History_betweenness_centrality,feature_Graph_History_closeness_centrality,feature_Graph_ContentSimilarity_std_degree_centrality,feature_Graph_ContentSimilarity_network_density,feature_Graph_ContentSimilarity_Degree_centrality,feature_Graph_ContentSimilarity_betweenness_centrality,feature_Graph_ContentSimilarity_closeness_centrality,feature_Graph_PathSimilarity_std_degree_centrality,feature_Graph_PathSimilarity_network_density,feature_Graph_PathSimilarity_Degree_centrality,feature_Graph_PathSimilarity_betweenness_centrality,feature_Graph_PathSimilarity_closeness_centrality
puppet-prometheus,338,149,2,0.04,0,47,43,4,13.46,17,0.3,64,51,0.1,0.59,20,6,6,0,0.28,0.15,0.65,0.11,0.59,0.26,0.92,2,0,1,0,1,2.01,0,1
puppet-prometheus,339,157,8,0.04,0,47,43,4,13.47,17.54,0.29,78,51,0.1,0.59,22,6,6,0,0.28,0.15,0.68,0.14,0.6,0.26,0.92,2,0,1,0,1,2.01,0,1
puppet-prometheus,340,157,42,0.04,0,47,43,4,13.49,18.38,0.28,84,51,0.11,0.65,22,6,6,0,0.28,0.15,0.68,0.14,0.6,0.26,0.92,2,0,1,0,1,2.01,0,1
puppet-prometheus,341,157,2,0.04,0,47,43,4,13.51,19.2,0.27,85,51,0.1,1.1,22,6,6,0,0.28,0.15,0.68,0.15,0.6,0.26,0.92,2,0,1,0,1,2.01,0,1
puppet-prometheus,342,122,2,0.05,0,46,43,3,16.19,20.33,0.44,43,51,0.04,0.16,32,2,6,0,0.28,0.15,0.59,0.02,0.55,0.26,0.92,1.99,0,0.99,0,1,2.01,0,1
puppet-prometheus,343,122,2,0.05,0,46,43,3,16.2,20.5,0.4,64,51,0.04,0.24,32,2,6,0,0.28,0.15,0.63,0.12,0.58,0.26,0.92,1.99,0,0.99,0,1,2.01,0,1
puppet-prometheus,344,130,8,0.05,0,46,43,3,16.23,21.55,0.36,78,51,0.04,0.24,34,2,6,0,0.28,0.15,0.66,0.15,0.59,0.26,0.92,1.99,0,0.99,0,1,2.01,0,1
puppet-prometheus,345,130,64,0.05,0,46,43,3,16.27,23.25,0.33,84,51,0.05,0.29,34,2,6,0,0.28,0.15,0.66,0.15,0.59,0.26,0.92,1.99,0,0.99,0,1,2.01,0,1
puppet-prometheus,346,130,2,0.05,0,46,43,3,16.32,24.77,0.31,85,51,0.05,0.5,34,2,6,0,0.28,0.15,0.67,0.16,0.6,0.26,0.92,1.99,0,0.99,0,1,2.01,0,1
puppet-prometheus,347,134,2,0.06,0,44,39,5,18.5,23.33,0.83,43,51,0.05,0.29,22,2,8,0,0.28,0.15,0.57,0.01,0.53,0.26,0.92,2,0,1,0,1,2.01,0,1
puppet-prometheus,348,142,8,0.06,0,44,39,5,18.53,24.57,0.71,74,51,0.05,0.29,24,2,8,0,0.28,0.15,0.66,0.15,0.59,0.26,0.92,2,0,1,0,1,2.01,0,1
puppet-prometheus,349,142,46,0.06,0,44,39,5,18.59,26.75,0.62,84,51,0.06,0.35,24,2,8,0,0.28,0.15,0.69,0.15,0.6,0.26,0.92,2,0,1,0,1,2.01,0,1
puppet-prometheus,350,142,2,0.06,0,44,39,5,18.66,28.56,0.56,85,51,0.06,0.6,24,2,8,0,0.28,0.15,0.7,0.16,0.6,0.26,0.92,2,0,1,0,1,2.01,0,1
puppet-prometheus,351,142,18,0.06,0,44,39,5,18.72,29.6,0.9,85,51,0.07,1,33,2,8,0,0.28,0.15,0.73,0.18,0.61,0.26,0.92,2,0,1,0,1,2.01,0,1
puppet-prometheus,352,142,2,0.06,0,44,39,5,18.68,27,0.91,85,51,0.07,1,33,2,8,0,0.28,0.15,0.73,0.18,0.61,0.26,0.92,2,0,1,0,1,2.01,0,1
puppet-prometheus,353,125,8,0.04,0,46,43,3,12.24,15.37,0.26,43,46,0.07,0.41,22,2,5,0,0.28,0.15,0.59,0.02,0.56,0.26,0.92,1.99,0,0.99,0,1,2.01,0,1
puppet-prometheus,354,125,42,0.04,0,46,43,3,12.27,16.7,0.25,84,46,0.08,0.47,22,2,5,0,0.28,0.15,0.65,0.15,0.59,0.26,0.92,1.99,0,0.99,0,1,2.01,0,1
puppet-prometheus,355,125,2,0.04,0,46,43,3,12.29,17.95,0.24,85,46,0.08,0.67,22,2,5,0,0.28,0.15,0.66,0.16,0.59,0.26,0.92,1.99,0,0.99,0,1,2.01,0,1
puppet-prometheus,356,125,2,0.04,0,46,43,3,12.29,17.59,0.23,85,46,0.07,0.8,22,2,5,0,0.28,0.15,0.66,0.16,0.59,0.26,0.92,1.99,0,0.99,0,1,2.01,0,1
puppet-prometheus,357,308,2,0.02,5,79,40,39,5.9,4.46,2.84,3,51,0.17,3.5,7,18,6,0,0.28,0.15,1.02,0.07,0.61,0.26,0.92,2,0,1,0,1,2.01,0,1
puppet-prometheus,358,308,4,0.02,5,79,40,39,5.9,4.39,2.76,4,51,0.17,4.4,7,18,6,0,0.28,0.15,1.02,0.07,0.61,0.26,0.92,2,0,1,0,1,2.01,0,1
puppet-prometheus,359,308,6,0.02,5,79,40,39,5.9,4.35,2.72,4,51,0.17,4.4,7,18,6,0,0.28,0.15,1.02,0.07,0.61,0.26,0.92,2,0,1,0,1,2.01,0,1
puppet-prometheus,360,107,2,0.05,0,45,40,5,17.98,22.9,0.8,43,49,0.04,0.24,17,1,5,0,0.28,0.15,0.58,0.01,0.54,0.26,0.92,1.99,0,0.99,0,1,2.01,0,1
puppet-prometheus,361,115,8,0.04,0,45,40,5,18,23.73,0.73,74,49,0.04,0.24,19,1,5,0,0.28,0.15,0.68,0.15,0.59,0.26,0.92,1.99,0,0.99,0,1,2.01,0,1
puppet-prometheus,362,115,36,0.04,0,45,40,5,18.04,25.25,0.67,84,49,0.05,0.29,19,1,5,0,0.28,0.15,0.7,0.15,0.61,0.26,0.92,1.99,0,0.99,0,1,2.01,0,1
puppet-prometheus,363,149,2,0.04,0,70,44,26,12.27,13.41,2.68,41,51,0.12,0.56,26,5,6,0,0.28,0.15,0.9,0.04,0.61,0.26,0.92,2.01,0,1,0,1,2.01,0,1
puppet-prometheus,364,157,10,0.05,0,70,44,26,12.28,13.63,2.61,62,51,0.12,0.56,28,5,7,0,0.28,0.15,0.94,0.15,0.64,0.26,0.92,2.01,0,1,0,1,2.01,0,1
puppet-prometheus,365,157,2,0.05,0,70,44,26,12.27,13.31,2.62,62,51,0.12,0.82,28,5,7,0,0.28,0.15,0.95,0.16,0.65,0.26,0.92,2.01,0,1,0,1,2.01,0,1
puppet-prometheus,366,165,8,0.04,0,70,44,26,12.28,13.78,2.55,76,51,0.12,0.82,30,5,7,0,0.28,0.15,0.98,0.2,0.66,0.26,0.92,2.01,0,1,0,1,2.01,0,1
puppet-prometheus,367,165,56,0.04,0,70,44,26,12.29,14.46,2.49,82,51,0.12,0.88,30,5,7,0,0.28,0.15,0.98,0.2,0.66,0.26,0.92,2.01,0,1,0,1,2.01,0,1
puppet-prometheus,368,248,95,0.03,0,70,44,26,12.31,15.14,2.43,83,51,0.12,1.15,47,15,7,0,0.28,0.15,0.99,0.21,0.66,0.26,0.92,2.01,0,1,0,1,2.01,0,1
puppet-prometheus,369,252,6,0.03,0,70,44,26,12.3,14.81,2.4,83,51,0.13,1.6,47,16,7,0,0.28,0.15,0.99,0.21,0.66,0.26,0.92,2.01,0,1,0,1,2.01,0,1
puppet-prometheus,370,252,6,0.03,0,70,44,26,12.3,14.5,2.36,83,51,0.14,1.7,47,16,7,0,0.28,0.15,0.99,0.21,0.66,0.26,0.92,2.01,0,1,0,1,2.01,0,1
puppet-prometheus,371,252,2,0.03,0,70,44,26,12.31,15.04,2.4,83,51,0.13,2.83,47,16,7,0,0.28,0.15,0.99,0.22,0.66,0.26,0.92,2.01,0,1,0,1,2.01,0,1
puppet-prometheus,372,252,2,0.03,0,70,44,26,12.31,14.8,2.37,83,51,0.14,3.6,46,17,7,0,0.28,0.15,0.99,0.22,0.66,0.26,0.92,2.01,0,1,0,1,2.01,0,1
puppet-prometheus,373,252,2,0.03,0,70,44,26,12.3,14.53,2.32,83,51,0.14,3.6,46,17,7,0,0.28,0.15,0.99,0.22,0.66,0.26,0.92,2.01,0,1,0,1,2.01,0,1
puppet-prometheus,374,152,2,0.04,3,48,43,5,17.15,21.5,0.4,43,51,0.07,0.28,22,2,6,0,0.28,0.15,0.62,0.01,0.56,0.26,0.92,1.99,0,0.99,0,1,2.01,0,1
puppet-prometheus,375,152,2,0.04,3,48,43,5,17.15,21.52,0.38,64,51,0.07,0.41,22,2,6,0,0.28,0.15,0.66,0.11,0.59,0.26,0.92,1.99,0,0.99,0,1,2.01,0,1
puppet-prometheus,376,160,8,0.04,3,48,43,5,17.16,22,0.36,78,51,0.07,0.41,24,2,6,0,0.28,0.15,0.69,0.15,0.6,0.26,0.92,1.99,0,0.99,0,1,2.01,0,1
puppet-prometheus,377,160,44,0.04,3,48,43,5,17.18,22.87,0.35,84,51,0.08,0.47,24,2,6,0,0.28,0.15,0.69,0.15,0.6,0.26,0.92,1.99,0,0.99,0,1,2.01,0,1
puppet-prometheus,378,160,2,0.04,3,48,43,5,17.2,23.71,0.33,85,51,0.07,0.8,24,2,6,0,0.28,0.15,0.7,0.16,0.6,0.26,0.92,1.99,0,0.99,0,1,2.01,0,1
puppet-prometheus,379,160,2,0.04,3,48,43,5,17.22,24.32,0.48,85,51,0.08,1.5,24,2,6,0,0.28,0.15,0.73,0.17,0.61,0.26,0.92,1.99,0,0.99,0,1,2.01,0,1
puppet-prometheus,380,296,10,0.03,2,77,43,34,7.12,6.86,2.29,40,51,0.18,1.24,31,9,8,0,0.28,0.15,0.99,0.06,0.61,0.26,0.92,2.01,0,1,0,1,2.01,0,1
puppet-prometheus,381,296,60,0.03,2,77,43,34,7.13,7.45,2.25,80,51,0.18,1.29,31,9,8,0,0.28,0.15,1.11,0.22,0.69,0.26,0.92,2.01,0,1,0,1,2.01,0,1
puppet-prometheus,382,296,2,0.03,2,77,43,34,7.14,8.03,2.21,81,51,0.18,1.83,31,9,8,0,0.28,0.15,1.11,0.23,0.69,0.26,0.92,2.01,0,1,0,1,2.01,0,1
puppet-prometheus,383,296,2,0.03,2,77,43,34,7.14,8.06,2.18,81,51,0.18,2.2,31,9,8,0,0.28,0.15,1.11,0.23,0.69,0.26,0.92,2.01,0,1,0,1,2.01,0,1
puppet-prometheus,384,300,18,0.03,3,77,43,34,7.15,8.56,2.21,81,51,0.18,2.88,32,9,8,0,0.28,0.15,1.12,0.24,0.69,0.26,0.92,2.01,0,1,0,1,2.01,0,1
puppet-prometheus,385,121,2,0.05,0,25,23,2,12.52,14.33,0.67,41,51,0.03,0.08,29,4,6,0,0.28,0.15,0.32,0.02,0.44,0.26,0.92,1.99,0,0.99,0,1,2.01,0,1
puppet-prometheus,386,129,8,0.05,0,25,23,2,12.57,16.25,0.5,62,51,0.03,0.12,31,4,6,0,0.28,0.15,0.36,0.13,0.48,0.26,0.92,1.99,0,0.99,0,1,2.01,0,1
puppet-prometheus,387,129,60,0.05,0,25,23,2,12.72,21.4,0.4,82,51,0.03,0.18,31,4,6,0,0.28,0.15,0.55,0.16,0.57,0.26,0.92,1.99,0,0.99,0,1,2.01,0,1
puppet-prometheus,388,151,26,0.05,0,25,23,2,12.88,25,0.33,83,51,0.03,0.2,32,12,7,0,0.28,0.15,0.56,0.17,0.57,0.26,0.92,1.99,0,0.99,0,1,2.01,0,1
puppet-prometheus,389,151,4,0.05,0,25,23,2,12.83,21.57,0.57,83,51,0.04,0.33,32,12,7,0,0.28,0.15,0.56,0.17,0.57,0.26,0.92,1.99,0,0.99,0,1,2.01,0,1
puppet-prometheus,390,151,2,0.05,0,25,23,2,12.81,20.12,0.5,83,51,0.04,0.4,32,12,7,0,0.28,0.15,0.56,0.17,0.57,0.26,0.92,1.99,0,0.99,0,1,2.01,0,1
puppet-prometheus,391,162,2,0.05,0,49,43,6,15.72,19.64,0.41,43,51,0.09,0.36,23,8,8,0,0.28,0.15,0.63,0.02,0.56,0.26,0.92,1.99,0,0.99,0,1,2.01,0,1
puppet-prometheus,392,162,2,0.05,0,49,43,6,15.73,19.74,0.39,64,51,0.08,0.53,23,8,8,0,0.28,0.15,0.67,0.12,0.59,0.26,0.92,1.99,0,0.99,0,1,2.01,0,1
puppet-prometheus,393,170,8,0.05,0,49,43,6,15.74,20.25,0.38,78,51,0.08,0.53,25,8,8,0,0.28,0.15,0.7,0.16,0.6,0.26,0.92,1.99,0,0.99,0,1,2.01,0,1
puppet-prometheus,394,170,46,0.05,0,49,43,6,15.76,21.12,0.36,84,51,0.09,0.59,25,8,8,0,0.28,0.15,0.7,0.16,0.6,0.26,0.92,1.99,0,0.99,0,1,2.01,0,1
puppet-prometheus,395,170,2,0.05,0,49,43,6,15.78,21.96,0.35,85,51,0.09,1,25,8,8,0,0.28,0.15,0.71,0.17,0.6,0.26,0.92,1.99,0,0.99,0,1,2.01,0,1
puppet-prometheus,396,170,18,0.05,0,49,43,6,15.8,22.59,0.48,85,51,0.09,2.2,34,8,8,0,0.28,0.15,0.74,0.18,0.61,0.26,0.92,1.99,0,0.99,0,1,2.01,0,1
puppet-prometheus,397,149,2,0.06,0,3,0,3,3.84,1,3,43,51,0.04,0.04,33,3,8,0,0.28,0.15,0.04,0,0.02,0.26,0.92,2,0,1,0,1,2.01,0,1
puppet-prometheus,398,149,2,0.06,0,3,0,3,4.12,11.5,1.5,64,51,0.04,0.12,33,3,8,0,0.28,0.16,0.31,0.09,0.46,0.26,0.92,2,0,1,0,1,2.01,0,1
puppet-prometheus,399,157,8,0.05,0,3,0,3,4.55,18.33,1,78,51,0.03,0.12,35,3,8,0,0.28,0.15,0.48,0.12,0.52,0.26,0.92,2,0,1,0,1,2.01,0,1
puppet-prometheus,400,157,68,0.05,0,3,0,3,5.12,24.25,0.75,84,51,0.03,0.18,35,3,8,0,0.28,0.15,0.56,0.12,0.57,0.26,0.92,2,0,1,0,1,2.01,0,1
puppet-prometheus,401,157,2,0.05,0,3,0,3,5.69,28,0.6,85,51,0.03,0.3,35,3,8,0,0.28,0.15,0.57,0.14,0.57,0.26,0.92,2,0,1,0,1,2.01,0,1
puppet-prometheus,402,202,2,0.04,2,28,23,5,7.55,7.67,1.17,39,51,0.05,0.12,35,7,8,0,0.28,0.15,0.36,0.04,0.46,0.26,0.92,2,0,1,0,1,2.01,0,1
puppet-prometheus,403,202,2,0.04,2,28,23,5,7.59,9.71,1,60,51,0.05,0.18,35,7,8,0,0.28,0.15,0.4,0.14,0.49,0.26,0.92,2,0,1,0,1,2.01,0,1
puppet-prometheus,404,210,8,0.04,2,28,23,5,7.65,12.5,0.88,74,51,0.04,0.18,37,7,8,0,0.28,0.15,0.55,0.17,0.53,0.26,0.92,2,0,1,0,1,2.01,0,1
puppet-prometheus,405,210,72,0.04,2,28,23,5,7.74,15.78,0.78,80,51,0.04,0.24,37,7,8,0,0.28,0.15,0.59,0.17,0.58,0.26,0.92,2,0,1,0,1,2.01,0,1
puppet-prometheus,406,210,2,0.04,2,28,23,5,7.81,16.91,0.64,81,51,0.04,0.4,37,7,8,0,0.28,0.15,0.59,0.19,0.58,0.26,0.92,2,0,1,0,1,2.01,0,1
puppet-prometheus,407,38,2,0.13,2,56,39,17,9.07,9.56,3.39,3,51,0.07,1.5,5,0,5,0,0.28,0.15,0.72,0.01,0.56,0.26,0.92,1.99,0,0.99,0,1,2.01,0,1
puppet-prometheus,408,122,2,0.04,0,26,25,1,10.11,11.75,0.25,43,51,0.02,0.04,30,1,5,0,0.28,0.15,0.34,0.02,0.45,0.26,0.92,1.99,0,0.99,0,1,2.01,0,1
puppet-prometheus,409,122,2,0.04,0,26,25,1,10.16,13.8,0.2,64,51,0.02,0.06,30,1,5,0,0.28,0.15,0.37,0.12,0.48,0.26,0.92,1.99,0,0.99,0,1,2.01,0,1
puppet-prometheus,410,130,8,0.04,0,26,25,1,10.24,16.83,0.17,78,51,0.01,0.06,32,1,5,0,0.28,0.15,0.51,0.15,0.53,0.26,0.92,1.99,0,0.99,0,1,2.01,0,1
puppet-prometheus,411,130,62,0.04,0,26,25,1,10.37,20.43,0.14,84,51,0.02,0.12,32,1,5,0,0.28,0.15,0.54,0.15,0.56,0.26,0.92,1.99,0,0.99,0,1,2.01,0,1
puppet-prometheus,412,130,2,0.04,0,26,25,1,10.5,23.25,0.12,85,51,0.02,0.17,32,1,5,0,0.28,0.15,0.54,0.16,0.57,0.26,0.92,1.99,0,0.99,0,1,2.01,0,1
puppet-prometheus,413,130,2,0.04,0,26,25,1,10.49,21.78,0.11,85,51,0.02,0.2,32,1,5,0,0.28,0.15,0.54,0.16,0.57,0.26,0.92,1.99,0,0.99,0,1,2.01,0,1
puppet-prometheus,414,160,2,0.04,0,58,41,17,14.73,17.42,1.5,43,51,0.09,0.59,27,3,7,0,0.28,0.15,0.75,0.03,0.57,0.26,0.92,1.98,0,0.99,0,1,2.01,0,1
puppet-prometheus,415,168,8,0.04,0,58,41,17,14.74,18,1.44,74,51,0.09,0.59,29,3,7,0,0.28,0.15,0.84,0.18,0.62,0.26,0.92,1.98,0,0.99,0,1,2.01,0,1
puppet-prometheus,416,168,56,0.04,0,58,41,17,14.76,18.92,1.38,84,51,0.09,0.65,29,3,7,0,0.28,0.15,0.87,0.18,0.64,0.26,0.92,1.98,0,0.99,0,1,2.01,0,1
puppet-prometheus,417,168,2,0.04,0,58,41,17,14.78,19.81,1.33,85,51,0.09,1.1,29,3,7,0,0.28,0.15,0.87,0.19,0.64,0.26,0.92,1.98,0,0.99,0,1,2.01,0,1
puppet-prometheus,418,109,2,0.06,0,47,43,4,18.23,23,0.39,43,51,0.07,0.28,19,1,6,0,0.28,0.15,0.61,0,0.56,0.26,0.92,1.99,0,0.99,0,1,2.01,0,1
puppet-prometheus,419,117,8,0.05,0,47,43,4,18.23,22.95,0.37,64,51,0.07,0.41,21,1,6,0,0.28,0.15,0.65,0.11,0.59,0.26,0.92,1.99,0,0.99,0,1,2.01,0,1
puppet-prometheus,420,117,40,0.05,0,47,43,4,18.25,23.9,0.35,84,51,0.08,0.47,21,1,6,0,0.28,0.15,0.68,0.14,0.6,0.26,0.92,1.99,0,0.99,0,1,2.01,0,1
puppet-prometheus,421,117,2,0.05,0,47,43,4,18.28,24.81,0.33,85,51,0.08,0.8,21,1,6,0,0.28,0.15,0.68,0.15,0.6,0.26,0.92,1.99,0,0.99,0,1,2.01,0,1
puppet-prometheus,422,117,18,0.05,0,47,43,4,18.3,25.45,0.5,85,51,0.08,1.29,30,1,6,0,0.28,0.15,0.72,0.17,0.6,0.26,0.92,1.99,0,0.99,0,1,2.01,0,1
puppet-prometheus,423,117,2,0.04,0,62,46,16,14.65,16.96,2.5,43,51,0.1,0.59,20,2,5,0,0.28,0.15,0.8,0.02,0.6,0.26,0.92,1.99,0,0.99,0,1,2.01,0,1
puppet-prometheus,424,125,8,0.04,0,62,46,16,14.66,17.52,2.41,74,51,0.09,0.59,22,2,5,0,0.28,0.15,0.87,0.16,0.64,0.26,0.92,1.99,0,0.99,0,1,2.01,0,1
puppet-prometheus,425,125,42,0.04,0,62,46,16,14.67,18.39,2.32,84,51,0.1,0.65,22,2,5,0,0.28,0.15,0.87,0.16,0.64,0.26,0.92,1.99,0,0.99,0,1,2.01,0,1
puppet-prometheus,426,125,2,0.04,0,62,46,16,14.69,19.24,2.24,85,51,0.1,1.1,22,2,5,0,0.28,0.15,0.87,0.17,0.64,0.26,0.92,1.99,0,0.99,0,1,2.01,0,1
puppet-prometheus,427,130,2,0.05,0,48,43,5,13.64,16.96,0.35,43,51,0.12,0.48,20,3,6,0,0.28,0.15,0.62,0.01,0.56,0.26,0.92,1.99,0,0.99,0,1,2.01,0,1
puppet-prometheus,428,130,2,0.05,0,48,43,5,13.64,17.15,0.33,64,51,0.12,0.71,20,3,6,0,0.28,0.15,0.66,0.11,0.59,0.26,0.92,1.99,0,0.99,0,1,2.01,0,1
puppet-prometheus,429,138,8,0.04,0,48,43,5,13.66,17.68,0.32,78,51,0.12,0.71,22,3,6,0,0.28,0.15,0.69,0.15,0.6,0.26,0.92,1.99,0,0.99,0,1,2.01,0,1
puppet-prometheus,430,138,42,0.04,0,48,43,5,13.67,18.52,0.31,84,51,0.12,0.76,22,3,6,0,0.28,0.15,0.69,0.15,0.6,0.26,0.92,1.99,0,0.99,0,1,2.01,0,1
puppet-prometheus,431,138,2,0.04,0,48,43,5,13.69,19.33,0.3,85,51,0.12,1.3,22,3,6,0,0.28,0.15,0.7,0.16,0.6,0.26,0.92,1.99,0,0.99,0,1,2.01,0,1
puppet-prometheus,432,271,26,0.03,2,73,42,31,9.89,9.83,3.62,36,51,0.14,0.8,22,10,8,0,0.28,0.15,0.94,0.05,0.6,0.26,0.92,2.01,0,1,0,1,2.01,0,1
puppet-prometheus,433,271,2,0.03,2,73,42,31,9.89,9.53,3.53,36,51,0.15,1,22,10,8,0,0.28,0.15,0.94,0.05,0.6,0.26,0.92,2.01,0,1,0,1,2.01,0,1
puppet-prometheus,434,279,8,0.03,2,73,42,31,9.9,10.26,3.42,67,51,0.15,1,24,10,8,0,0.28,0.15,1.03,0.2,0.66,0.26,0.92,2.01,0,1,0,1,2.01,0,1
puppet-prometheus,435,279,42,0.03,2,73,42,31,9.92,11.25,3.31,77,51,0.15,1.06,24,10,8,0,0.28,0.15,1.06,0.21,0.68,0.26,0.92,2.01,0,1,0,1,2.01,0,1
puppet-prometheus,436,289,12,0.03,2,73,42,31,9.94,12.21,3.21,78,51,0.15,1.5,24,10,8,0,0.28,0.15,1.06,0.22,0.68,0.26,0.92,2.01,0,1,0,1,2.01,0,1
puppet-prometheus,437,289,2,0.03,2,73,42,31,9.93,11.88,3.21,78,51,0.15,1.8,24,10,8,0,0.28,0.15,1.06,0.22,0.68,0.26,0.92,2.01,0,1,0,1,2.01,0,1
puppet-prometheus,438,109,2,0.06,0,46,42,4,16.93,21.47,0.35,43,51,0.07,0.28,19,1,6,0,0.28,0.15,0.59,0,0.55,0.26,0.92,1.99,0,0.99,0,1,2.01,0,1
puppet-prometheus,439,117,8,0.05,0,46,42,4,16.94,21.5,0.33,64,51,0.07,0.41,21,1,6,0,0.28,0.15,0.63,0.11,0.58,0.26,0.92,1.99,0,0.99,0,1,2.01,0,1
puppet-prometheus,440,117,40,0.05,0,46,42,4,16.96,22.58,0.32,84,51,0.08,0.47,21,1,6,0,0.28,0.15,0.68,0.14,0.6,0.26,0.92,1.99,0,0.99,0,1,2.01,0,1
puppet-prometheus,441,117,2,0.05,0,46,42,4,16.98,23.6,0.3,85,51,0.08,0.8,21,1,6,0,0.28,0.15,0.68,0.15,0.6,0.26,0.92,1.99,0,0.99,0,1,2.01,0,1
puppet-prometheus,442,117,18,0.05,0,46,42,4,17.01,24.33,0.48,85,51,0.08,1.29,30,1,6,0,0.28,0.15,0.72,0.17,0.6,0.26,0.92,1.99,0,0.99,0,1,2.01,0,1
puppet-prometheus,443,105,2,0.06,0,40,38,2,11.46,14.87,0.27,43,51,0.04,0.24,15,3,6,0,0.28,0.15,0.52,0,0.52,0.26,0.92,1.99,0,0.99,0,1,2.01,0,1
puppet-prometheus,444,113,8,0.05,0,40,38,2,11.48,15.94,0.25,74,51,0.04,0.24,17,3,6,0,0.28,0.15,0.61,0.14,0.58,0.26,0.92,1.99,0,0.99,0,1,2.01,0,1
puppet-prometheus,445,113,32,0.05,0,40,38,2,11.51,17.47,0.24,84,51,0.05,0.29,17,3,6,0,0.28,0.15,0.64,0.14,0.59,0.26,0.92,1.99,0,0.99,0,1,2.01,0,1
puppet-prometheus,446,113,2,0.05,0,40,38,2,11.55,18.89,0.22,85,51,0.05,0.5,17,3,6,0,0.28,0.15,0.65,0.15,0.59,0.26,0.92,1.99,0,0.99,0,1,2.01,0,1
puppet-prometheus,447,150,2,0.05,2,50,43,7,16.33,20.09,0.64,43,51,0.09,0.36,21,5,7,0,0.28,0.15,0.65,0.01,0.56,0.26,0.92,2,0,1,0,1,2.01,0,1
puppet-prometheus,448,150,2,0.05,2,50,43,7,16.33,20.17,0.61,64,51,0.09,0.53,21,5,7,0,0.28,0.15,0.68,0.11,0.59,0.26,0.92,2,0,1,0,1,2.01,0,1
puppet-prometheus,449,158,8,0.05,2,50,43,7,16.34,20.67,0.58,78,51,0.09,0.53,23,5,7,0,0.28,0.15,0.71,0.15,0.6,0.26,0.92,2,0,1,0,1,2.01,0,1
puppet-prometheus,450,158,44,0.05,2,50,43,7,16.36,21.52,0.56,84,51,0.1,0.59,23,5,7,0,0.28,0.15,0.71,0.15,0.6,0.26,0.92,2,0,1,0,1,2.01,0,1
puppet-prometheus,451,158,2,0.05,2,50,43,7,16.38,22.35,0.54,85,51,0.09,1,23,5,7,0,0.28,0.15,0.72,0.16,0.61,0.26,0.92,2,0,1,0,1,2.01,0,1
puppet-prometheus,452,158,2,0.05,2,50,43,7,16.4,22.96,0.67,85,51,0.1,1.57,23,5,7,0,0.28,0.15,0.75,0.17,0.61,0.26,0.92,2,0,1,0,1,2.01,0,1
puppet-prometheus,453,114,2,0.05,0,45,40,5,16.44,20.91,0.73,43,49,0.04,0.24,18,2,5,0,0.28,0.15,0.58,0.01,0.54,0.26,0.92,1.99,0,0.99,0,1,2.01,0,1
puppet-prometheus,454,122,8,0.04,0,45,40,5,16.46,21.83,0.67,74,49,0.04,0.24,20,2,5,0,0.28,0.15,0.68,0.15,0.59,0.26,0.92,1.99,0,0.99,0,1,2.01,0,1
puppet-prometheus,455,122,38,0.04,0,45,40,5,16.49,23.38,0.62,84,49,0.05,0.29,20,2,5,0,0.28,0.15,0.7,0.15,0.61,0.26,0.92,1.99,0,0.99,0,1,2.01,0,1
puppet-prometheus,456,122,2,0.04,0,45,40,5,16.53,24.79,0.57,85,49,0.05,0.5,20,2,5,0,0.28,0.15,0.71,0.16,0.61,0.26,0.92,1.99,0,0.99,0,1,2.01,0,1
puppet-prometheus,457,120,2,0.04,0,47,43,4,16.33,20.52,0.33,43,51,0.08,0.32,20,2,5,0,0.28,0.15,0.61,0,0.56,0.26,0.92,1.99,0,0.99,0,1,2.01,0,1
puppet-prometheus,458,120,2,0.04,0,47,43,4,16.34,20.59,0.32,64,51,0.08,0.47,20,2,5,0,0.28,0.15,0.65,0.11,0.59,0.26,0.92,1.99,0,0.99,0,1,2.01,0,1
puppet-prometheus,459,128,8,0.04,0,47,43,4,16.35,21.09,0.3,78,51,0.08,0.47,22,2,5,0,0.28,0.15,0.68,0.14,0.6,0.26,0.92,1.99,0,0.99,0,1,2.01,0,1
puppet-prometheus,460,128,42,0.04,0,47,43,4,16.37,21.96,0.29,84,51,0.09,0.53,22,2,5,0,0.28,0.15,0.68,0.14,0.6,0.26,0.92,1.99,0,0.99,0,1,2.01,0,1
puppet-prometheus,461,128,2,0.04,0,47,43,4,16.39,22.8,0.28,85,51,0.08,0.9,22,2,5,0,0.28,0.15,0.68,0.15,0.6,0.26,0.92,1.99,0,0.99,0,1,2.01,0,1
puppet-prometheus,462,145,2,0.04,0,48,43,5,15.71,19.57,0.48,43,51,0.09,0.36,21,5,6,0,0.28,0.15,0.62,0,0.55,0.26,0.92,1.99,0,0.99,0,1,2.01,0,1
