source,instances,feature_iac_file_loc,feature_iac_file_churn,feature_files_num_normalized_resources,feature_iac_file_dependency,feature_nb_files,feature_nb_iac_files,feature_nb_noniac_files,feature_avg_files_per_commit,feature_avg_iac_files_per_commit,feature_avg_noniac_files_per_commit,feature_nb_content_sim_files,feature_nb_path_sim_files,feature_Ratio_out_of_cofiles_developers,feature_Ratio_out_of_all_developers,feature_file_nb_parameters,feature_file_nb_variables,feature_file_nb_resources,feature_file_fanin,feature_Graph_History_std_degree_centrality,feature_Graph_History_network_density,feature_Graph_History_Degree_centrality,feature_Graph_History_betweenness_centrality,feature_Graph_History_closeness_centrality,feature_Graph_ContentSimilarity_std_degree_centrality,feature_Graph_ContentSimilarity_network_density,feature_Graph_ContentSimilarity_Degree_centrality,feature_Graph_ContentSimilarity_betweenness_centrality,feature_Graph_ContentSimilarity_closeness_centrality,feature_Graph_PathSimilarity_std_degree_centrality,feature_Graph_PathSimilarity_network_density,feature_Graph_PathSimilarity_Degree_centrality,feature_Graph_PathSimilarity_betweenness_centrality,feature_Graph_PathSimilarity_closeness_centrality
puppet-tp,11,235,33,0.03,1,34,8,26,8.03,2.9,7,2,32,0.25,1,41,15,6,0,0.31,0.12,1.65,0.7,0.84,0.38,0.81,2,0,0.99,0.47,0.87,2.01,0.13,1
puppet-tp,12,287,56,0.02,1,39,8,31,8.04,3.48,8.05,2,37,0.25,1,47,15,6,0,0.25,0.07,1.87,0.89,0.94,0.38,0.81,2,0,0.99,0.54,0.82,2.01,0.19,1
puppet-tp,13,310,53,0.02,1,57,8,49,8.04,3.55,9.77,2,55,0.25,1,50,18,6,0,0.21,0.05,1.9,0.93,0.95,0.38,0.81,2,0,0.99,0.64,0.67,2.01,0.34,1
puppet-tp,14,310,2,0.02,1,58,8,50,8.05,3.52,10.65,2,56,0.25,1,50,18,6,0,0.2,0.04,1.92,0.94,0.96,0.38,0.81,2,0,0.99,0.64,0.66,2.01,0.35,1
puppet-tp,15,362,56,0.02,1,58,8,50,8.05,3.5,10.5,2,56,0.25,1,55,20,6,0,0.2,0.04,1.92,0.94,0.96,0.38,0.81,2,0,0.99,0.64,0.66,2.01,0.35,1
puppet-tp,16,367,5,0.02,1,61,8,53,8.05,3.64,10.72,2,59,0.25,1,55,20,6,0,0.19,0.04,1.92,0.95,0.96,0.38,0.81,2,0,0.99,0.64,0.64,2.01,0.37,1
puppet-tp,17,479,580,0.02,2,61,8,53,8.05,3.69,10.54,2,59,0.25,1,74,30,10,0,0.19,0.04,1.92,0.95,0.96,0.38,0.81,2,0,0.99,0.64,0.64,2.01,0.37,1
puppet-tp,18,499,54,0.02,2,61,8,53,8.05,4.3,11.44,3,59,0.25,1.5,74,30,10,0,0.17,0.03,1.94,0.96,0.97,0.38,0.81,2,0,0.99,0.64,0.64,2.01,0.37,1
puppet-tp,19,235,3,0.04,2,23,8,15,6.02,2.82,3.48,1,22,0.15,0.67,31,12,8,0,0.5,0.37,1.28,0.02,0.7,0.38,0.81,1.95,0,0.97,0,1.01,2.01,0,1
puppet-tp,20,263,72,0.03,2,24,8,16,6.02,2.79,3.44,1,23,0.15,0.67,33,14,8,0,0.5,0.35,1.3,0.07,0.71,0.38,0.81,1.95,0,0.97,0.16,0.99,2.01,0.01,1
puppet-tp,21,262,1,0.03,2,29,9,20,6.02,2.86,3.54,1,28,0.15,0.67,33,14,8,0,0.46,0.28,1.38,0.26,0.74,0.38,0.81,1.95,0,0.97,0.37,0.93,2.01,0.08,1
puppet-tp,22,259,21,0.03,2,31,9,22,6.02,2.92,3.67,1,30,0.15,0.67,33,14,8,0,0.41,0.22,1.46,0.42,0.77,0.38,0.81,1.95,0,0.97,0.42,0.91,2.01,0.1,1
puppet-tp,23,277,54,0.03,2,36,9,27,6.03,3.24,4.35,2,35,0.15,0.67,33,14,8,0,0.3,0.11,1.81,0.81,0.91,0.38,0.81,1.95,0,0.97,0.5,0.85,2.01,0.16,1
puppet-tp,24,271,74,0.03,2,53,9,44,6.03,3.29,5.45,2,52,0.15,0.67,35,17,8,0,0.24,0.06,1.86,0.9,0.93,0.38,0.81,1.95,0,0.97,0.62,0.7,2.01,0.31,1
puppet-tp,25,279,16,0.03,2,54,9,45,6.03,3.28,6.08,2,53,0.15,0.67,37,22,8,0,0.21,0.05,1.9,0.93,0.95,0.38,0.81,1.95,0,0.97,0.63,0.69,2.01,0.32,1
puppet-tp,26,276,11,0.03,2,54,9,45,6.03,3.22,5.95,2,53,0.15,0.67,37,22,8,0,0.21,0.05,1.9,0.93,0.95,0.38,0.81,1.95,0,0.97,0.63,0.69,2.01,0.32,1
puppet-tp,27,282,10,0.03,2,55,9,46,6.03,3.27,5.95,2,54,0.15,0.67,37,22,8,0,0.21,0.05,1.9,0.93,0.95,0.38,0.81,1.95,0,0.97,0.63,0.68,2.01,0.32,1
