instances,source,feature_iac_file_loc,feature_iac_file_churn,feature_iac_file_dependency,feature_nb_files,feature_nb_iac_files,feature_nb_noniac_files,feature_avg_files_per_commit,feature_avg_iac_files_per_commit,feature_avg_noniac_files_per_commit,feature_nb_content_sim_files,feature_nb_path_sim_files,feature_Ratio_out_of_cofiles_developers,feature_Ratio_out_of_all_developers,feature_file_nb_parameters,feature_file_nb_variables,feature_file_avg_play_size,feature_file_avg_task_size,feature_file_num_plays,feature_file_num_tasks,feature_file_num_commands,feature_file_num_blocks,feature_file_num_Distinctmodules,feature_file_num_ExternalModules,feature_file_num_FactModules,feature_file_num_Paths,feature_file_num_Roles,feature_file_num_DeprecatedModules,feature_num_ImportedRoles,feature_num_ImportedPlaybooks,feature_num_ImportedTasks,feature_num_IncludedRoles,feature_num_IncludedVars,feature_num_Includes,feature_num_IncludedTasks,feature_file_num_normalized_resources,feature_Graph_History_std_degree_centrality,feature_Graph_History_network_density,feature_Graph_History_Degree_centrality,feature_Graph_History_betweenness_centrality,feature_Graph_History_closeness_centrality,feature_Graph_ContentSimilarity_std_degree_centrality,feature_Graph_ContentSimilarity_network_density,feature_Graph_ContentSimilarity_Degree_centrality,feature_Graph_ContentSimilarity_betweenness_centrality,feature_Graph_ContentSimilarity_closeness_centrality,feature_Graph_PathSimilarity_std_degree_centrality,feature_Graph_PathSimilarity_network_density,feature_Graph_PathSimilarity_Degree_centrality,feature_Graph_PathSimilarity_betweenness_centrality,feature_Graph_PathSimilarity_closeness_centrality
10,ansible-collection-hardening,101,4,19,86,37,49,11.06,7.7,8.8,1,35,0.25,0.24,3,0,0,4,0,20,0,0,20,0,0,0,0,0,0,0,18,0,1,0,0,0.2,0.56,0.56,1.64,0.01,0.85,0.34,0.85,1.92,0,0.96,0,1.01,2.01,0,1
11,ansible-collection-hardening,119,54,19,86,37,49,11.06,7.27,8.64,1,35,0.24,0.33,3,0,0,5,0,20,0,0,20,0,0,0,0,0,0,0,18,0,1,0,0,0.17,0.57,0.54,1.66,0.05,0.86,0.34,0.85,1.92,0,0.96,0,1.01,2.01,0,1
12,ansible-collection-hardening,71,2,3,80,37,43,10.86,7,9.38,1,41,0.2,0.16,5,2,0,6,0,10,0,0,6,4,0,0,0,0,0,0,0,0,1,2,0,0.14,0.56,0.56,1.52,0.04,0.81,0.34,0.85,1.93,0,0.96,0,1.01,2.01,0,1
13,ansible-collection-hardening,73,6,3,82,37,45,10.87,7.11,9.44,1,43,0.14,0.21,5,2,0,6,0,10,0,0,6,4,0,0,0,0,0,0,2,0,1,0,0,0.14,0.57,0.51,1.56,0.13,0.82,0.34,0.85,1.93,0,0.96,0.21,0.98,2.01,0.02,1
14,ansible-collection-hardening,73,2,3,82,37,45,10.88,7.7,8.6,1,43,0.12,0.6,0,2,0,6,0,10,0,0,0,10,0,0,0,0,0,0,2,0,1,0,0,0.14,0.57,0.51,1.56,0.13,0.82,0.34,0.85,1.93,0,0.96,0.21,0.98,2.01,0.02,1
15,ansible-collection-hardening,64,4,0,72,37,35,17.54,15.2,11.6,1,35,0.1,0.06,33,0,0,8,0,7,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0.11,0.56,0.56,1.37,0,0.76,0.34,0.85,1.93,0,0.96,0,1.01,2.01,0,1
16,ansible-collection-hardening,13,13,0,72,37,35,37,38,36,2,37,0,0,2,1,0,6,0,2,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0.15,0.56,0.56,1.37,0,0.76,0.34,0.85,1.9,0,0.95,0,1.01,2.01,0,1
17,ansible-collection-hardening,6,3,1,81,37,44,22.73,14.75,14.75,2,41,0.25,0.08,0,0,0,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.17,0.56,0.56,1.54,0,0.81,0.34,0.85,1.58,0,0.82,0,1.01,2.01,0,1
18,ansible-collection-hardening,18,7,0,81,37,44,30.3,29,19.67,2,35,0.05,0.03,4,1,0,5,0,3,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0.17,0.56,0.56,1.54,0,0.81,0.34,0.85,1.9,0,0.95,0,1.01,2.01,0,1
19,ansible-collection-hardening,17,1,0,81,37,44,30.21,22.5,16.5,3,35,0.06,0.07,4,1,0,5,0,3,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0.18,0.57,0.54,1.61,0.05,0.84,0.34,0.85,1.9,0,0.95,0,1.01,2.01,0,1
20,ansible-collection-hardening,117,23,1,73,37,36,22.37,23.67,13.33,1,40,0.06,0.03,57,0,0,9,0,11,0,0,11,0,0,10,0,0,0,0,0,0,1,0,0,0.09,0.56,0.56,1.39,0,0.77,0.34,0.85,1.93,0,0.96,0,1.01,2.01,0,1
21,ansible-collection-hardening,94,23,0,81,37,44,22.31,18,12.25,1,41,0.1,0.06,54,0,0,9,0,9,0,0,9,0,0,10,0,0,0,0,0,0,0,0,0,0.1,0.57,0.49,1.43,0.14,0.78,0.34,0.85,1.93,0,0.96,0.39,0.92,2.01,0.09,1
22,ansible-collection-hardening,94,52,0,81,37,44,22.26,14.6,11.4,1,41,0.14,0.12,54,0,0,9,0,9,0,0,9,0,0,10,0,0,0,0,0,0,0,0,0,0.1,0.57,0.49,1.43,0.14,0.78,0.34,0.85,1.93,0,0.96,0.39,0.92,2.01,0.09,1
23,ansible-collection-hardening,6,3,1,77,37,40,29.79,23.5,27.5,2,42,0,0,0,0,0,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.17,0.56,0.56,1.47,0,0.79,0.34,0.85,1.78,0,0.9,0,1.01,2.01,0,1
24,ansible-collection-hardening,7,3,1,77,37,40,29.62,16,19.33,2,42,0.07,0.04,0,0,0,6,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.14,0.57,0.55,1.49,0.02,0.8,0.34,0.85,1.78,0,0.9,0,1.01,2.01,0,1
25,ansible-collection-hardening,27,2,0,78,37,41,21.48,19.75,14,1,8,0.11,0.06,15,0,0,8,0,3,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0.11,0.56,0.56,1.49,0.02,0.8,0.34,0.85,1.91,0,0.95,0,1.01,2.01,0,1
26,ansible-collection-hardening,32,4,0,81,37,44,30.3,29,19.67,1,35,0.05,0.04,9,1,0,8,0,4,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0.12,0.56,0.56,1.54,0,0.81,0.34,0.85,1.9,0,0.95,0,1.01,2.01,0,1
27,ansible-collection-hardening,33,1,0,81,37,44,30.21,22.75,16.25,1,35,0.04,0.18,0,1,0,8,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0.12,0.57,0.55,1.55,0.02,0.82,0.34,0.85,1.9,0,0.95,0,1.01,2.01,0,1
28,ansible-collection-hardening,38,18,0,81,37,44,14.7,11.86,10,4,35,0.07,0.71,0,0,0,7,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0.13,0.56,0.56,1.54,0.03,0.81,0.34,0.85,1.91,0,0.95,0,1.01,2.01,0,1
29,ansible-collection-hardening,64,2,0,81,37,44,13.69,13,8.57,1,35,0.1,0.11,15,3,0,6,0,9,2,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0.14,0.56,0.56,1.54,0,0.81,0.34,0.85,1.95,0,0.97,0,1.01,2.01,0,1
30,ansible-collection-hardening,105,41,0,81,37,44,13.68,11.88,8.25,1,35,0.09,0.12,26,3,0,6,0,14,2,0,14,0,0,2,0,0,0,0,0,0,0,0,0,0.13,0.57,0.55,1.55,0.02,0.82,0.34,0.85,1.95,0,0.97,0,1.01,2.01,0,1
31,ansible-collection-hardening,105,22,0,81,37,44,13.66,10.67,7.44,1,35,0.11,0.17,26,3,0,6,0,14,2,0,14,0,0,2,0,0,0,0,0,0,0,0,0,0.13,0.57,0.55,1.55,0.02,0.82,0.34,0.85,1.95,0,0.97,0,1.01,2.01,0,1
32,ansible-collection-hardening,135,34,0,81,37,44,13.66,10.9,6.8,1,35,0.12,0.31,31,3,0,7,0,17,2,0,17,0,0,2,0,0,0,0,0,0,0,0,0,0.13,0.57,0.55,1.55,0.02,0.82,0.34,0.85,1.95,0,0.97,0,1.01,2.01,0,1
33,ansible-collection-hardening,114,69,0,81,37,44,13.65,10,6.73,1,35,0.12,0.4,0,1,0,8,0,13,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0.11,0.57,0.53,1.61,0.07,0.84,0.34,0.85,1.95,0,0.97,0,1.01,2.01,0,1
34,ansible-collection-hardening,109,21,0,81,37,44,13.64,9.5,6.67,1,35,0.12,0.43,0,0,0,8,0,12,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0.11,0.57,0.51,1.62,0.12,0.84,0.34,0.85,1.95,0,0.97,0,1.01,2.01,0,1
35,ansible-collection-hardening,111,4,0,81,37,44,13.61,8.29,6.14,1,35,0.14,0.7,0,0,0,8,0,12,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0.11,0.57,0.49,1.63,0.15,0.84,0.34,0.85,1.95,0,0.97,0,1.01,2.01,0,1
36,ansible-collection-hardening,40,6,2,83,37,46,9.5,8.5,5.67,1,37,0.1,0.12,8,0,0,6,0,5,0,0,5,0,1,2,0,0,0,0,2,0,0,0,0,0.15,0.56,0.56,1.58,0,0.83,0.34,0.85,1.93,0,0.96,0,1.01,2.01,0,1
37,ansible-collection-hardening,7,4,0,73,37,36,20.43,20,19,1,35,0.06,0.03,3,0,0,6,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0.56,0.56,1.39,0,0.77,0.34,0.85,1.77,0,0.89,0,1.01,2.01,0,1
38,ansible-collection-hardening,104,18,0,76,37,39,8.16,6.21,5.57,1,34,0.18,0.25,6,2,0,8,0,11,0,0,4,7,0,2,0,0,0,0,0,0,0,0,0,0.11,0.56,0.56,1.45,0.02,0.78,0.34,0.85,1.98,0,0.98,0,1.01,2.01,0,1
39,ansible-collection-hardening,92,27,0,76,37,39,8.16,6.67,5.27,1,34,0.12,0.5,0,2,0,8,0,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0.1,0.56,0.56,1.45,0.02,0.78,0.34,0.85,1.98,0,0.98,0,1.01,2.01,0,1
40,ansible-collection-hardening,94,2,0,76,37,39,8.16,6.31,5.25,1,34,0.12,0.55,0,2,0,8,0,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0.1,0.57,0.53,1.48,0.08,0.79,0.34,0.85,1.98,0,0.98,0,1.01,2.01,0,1
41,ansible-collection-hardening,81,22,0,87,37,50,20.83,18.8,13.2,1,35,0.05,0.06,23,1,0,12,0,6,0,1,5,1,0,7,0,0,0,0,0,0,0,0,0,0.09,0.56,0.56,1.66,0.03,0.85,0.34,0.85,1.93,0,0.96,0,1.01,2.01,0,1
42,ansible-collection-hardening,86,5,0,87,37,50,20.79,15.83,11.83,1,35,0.05,0.06,23,1,0,13,0,6,0,1,5,1,0,7,0,0,0,0,0,0,0,0,0,0.08,0.57,0.55,1.66,0.05,0.85,0.34,0.85,1.93,0,0.96,0,1.01,2.01,0,1
43,ansible-collection-hardening,82,6,0,87,37,50,20.69,12.12,9.12,1,35,0.07,0.09,23,1,0,12,0,6,0,1,5,1,0,7,0,0,0,0,0,0,0,0,0,0.09,0.57,0.54,1.66,0.07,0.86,0.34,0.85,1.93,0,0.96,0,1.01,2.01,0,1
44,ansible-collection-hardening,82,2,0,87,37,50,20.64,10.89,8.22,1,35,0.07,0.09,23,1,0,12,0,6,0,1,5,1,0,7,0,0,0,0,0,0,0,0,0,0.09,0.57,0.54,1.66,0.07,0.86,0.34,0.85,1.93,0,0.96,0,1.01,2.01,0,1
45,ansible-collection-hardening,82,2,0,87,37,50,20.59,9.9,7.5,1,35,0.06,0.12,23,1,0,12,0,6,0,1,5,1,0,7,0,0,0,0,0,0,0,0,0,0.09,0.57,0.54,1.66,0.07,0.86,0.34,0.85,1.93,0,0.96,0,1.01,2.01,0,1
46,ansible-collection-hardening,16,2,0,81,37,44,23.22,22.25,14.75,1,35,0.12,0.12,7,0,0,7,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0.12,0.56,0.56,1.54,0,0.81,0.34,0.85,1.92,0,0.96,0,1.01,2.01,0,1
47,ansible-collection-hardening,65,9,0,77,37,40,27.99,26,18.33,1,36,0.06,0.03,6,1,0,10,0,5,2,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0.09,0.56,0.56,1.47,0,0.79,0.34,0.85,1.93,0,0.96,0,1.01,2.01,0,1
48,ansible-collection-hardening,65,2,0,79,37,42,27.95,21.5,16.25,1,38,0.07,0.08,6,1,0,10,0,5,2,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0.09,0.57,0.51,1.53,0.1,0.81,0.34,0.85,1.93,0,0.96,0.21,0.98,2.01,0.02,1
49,ansible-collection-hardening,64,2,0,79,37,42,27.89,19.8,13.2,1,38,0.08,0.27,0,1,0,10,0,5,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0.09,0.57,0.51,1.53,0.1,0.81,0.34,0.85,1.93,0,0.96,0.21,0.98,2.01,0.02,1
50,ansible-collection-hardening,64,2,0,79,37,42,27.81,17.17,12,1,38,0.08,0.4,0,1,0,10,0,5,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0.09,0.57,0.49,1.56,0.15,0.82,0.34,0.85,1.93,0,0.96,0.21,0.98,2.01,0.02,1
51,ansible-collection-hardening,120,14,0,75,37,38,12.41,11,7.86,1,36,0.07,0.08,12,0,0,15,0,7,1,2,5,2,0,2,0,0,0,0,0,0,0,0,0,0.07,0.56,0.56,1.43,0.06,0.78,0.34,0.85,1.94,0,0.97,0,1.01,2.01,0,1
52,ansible-collection-hardening,120,14,0,75,37,38,12.41,11.25,7,1,36,0.07,0.09,12,0,0,15,0,7,1,2,5,2,0,2,0,0,0,0,0,0,0,0,0,0.07,0.56,0.56,1.43,0.06,0.78,0.34,0.85,1.94,0,0.97,0,1.01,2.01,0,1
53,ansible-collection-hardening,65,20,0,83,37,46,19.16,18,12.2,1,35,0.17,0.09,0,0,0,29,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0.06,0.56,0.56,1.58,0.03,0.83,0.34,0.85,1.95,0,0.97,0,1.01,2.01,0,1
54,ansible-collection-hardening,64,13,0,85,37,48,19.11,14.14,10.14,1,37,0.15,0.17,0,0,0,29,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0.06,0.57,0.51,1.64,0.12,0.85,0.34,0.85,1.95,0,0.97,0.21,0.98,2.01,0.02,1
55,ansible-collection-hardening,65,1,0,85,37,48,19.09,14,9,1,37,0.1,0.45,0,0,0,30,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0.06,0.57,0.51,1.64,0.12,0.85,0.34,0.85,1.95,0,0.97,0.21,0.98,2.01,0.02,1
